,assetClass,beta3Yr,cost,date,distYield,dnow,modelOad,numHoldings,optionAdjustedSpread,priceBook,priceEarnings,sharesOutstanding,standardDeviation3Yr,thirtyDaySecYield,ticker,totalNetAssets,twelveMonTrlYld,weightedAvgCoupon,weightedAvgLife,yieldToWorst,link
0,Equity,1.18,0.003,2019-06-17 00:00:00.000000,0.0134,2019-06-18 10:19:41.120984,,498.0,,1.97,14.14,5650000.0,0.1616,0.012,SMLF,222361652.0,0.0121,,,,https://www.ishares.com/us/products/272825/ishares-msci-usa-small-cap-multi-factor-etf
1,Real Estate,0.34,0.0048,2019-06-17 00:00:00.000000,0.0297,2019-06-18 10:19:47.683190,,43.0,,2.65,,6400000.0,0.1384,0.0259,REZ,476765432.0,0.030699999999999998,,,,https://www.ishares.com/us/products/239545/ishares-residential-real-estate-capped-etf
2,Equity,,0.0018,2019-06-17 00:00:00.000000,0.0263,2019-06-18 10:19:49.202682,,262.0,,,,200000.0,,0.021,IEFN,4709209.0,0.0213,,,0.0001,https://www.ishares.com/us/products/292421/
3,Equity,0.55,0.0031,2019-06-17 00:00:00.000000,0.0204,2019-06-18 10:19:52.687116,,442.0,,2.33,21.72,51200000.0,0.08220000000000001,0.023799999999999998,ACWV,4660015945.0,0.0212,,,,https://www.ishares.com/us/products/239605/ishares-msci-all-country-world-minimum-volatility-etf
4,Equity,1.06,0.0015,2019-06-17 00:00:00.000000,0.016399999999999998,2019-06-18 10:19:56.614950,,643.0,,2.6,18.59,4700000.0,0.1274,0.0177,EUSA,272836212.0,0.018000000000000002,,,,https://www.ishares.com/us/products/239693/ishares-msci-usa-etf
5,Equity,0.56,0.004699999999999999,2019-06-17 00:00:00.000000,0.0258,2019-06-18 10:20:01.579523,,90.0,,3.78,22.06,14350000.0,0.10529999999999999,0.0223,KXI,753526173.0,0.0268,,,,https://www.ishares.com/us/products/239740/ishares-global-consumer-staples-etf
6,Equity,,0.004699999999999999,2019-06-17 00:00:00.000000,0.006999999999999999,2019-06-18 10:20:03.117965,,88.0,,3.05,19.14,1600000.0,,0.0040999999999999995,IRBO,37804352.0,0.003,,,0.0001,https://www.ishares.com/us/products/297905/ishares-robotics-and-artificial-intelligence-etf-fund
7,Equity,,0.0015,2019-06-17 00:00:00.000000,0.0172,2019-06-18 10:20:05.155202,,314.0,,3.28,20.43,3700000.0,,0.0181,ESGU,234599351.0,0.0171,,,,https://www.ishares.com/us/products/286007/_1
8,Fixed Income,0.09,0.0006,2019-06-17 00:00:00.000000,0.0388,2019-06-18 10:20:09.393120,13.52,1993.0,174.0,,,16400000.0,0.0704,0.0426,IGLB,1012264114.0,0.0424,0.050300000000000004,22.74,0.04190000000000001,https://www.ishares.com/us/products/239423/ishares-10-year-credit-bond-etf
9,Equity,0.61,0.004699999999999999,2019-06-17 00:00:00.000000,0.03,2019-06-18 10:20:13.214566,,27.0,,2.18,19.06,3200000.0,0.1336,0.0264,ENZL,160403798.0,0.0325,,,,https://www.ishares.com/us/products/239672/ishares-msci-new-zealand-capped-etf
10,Fixed Income,-0.13,0.0015,2019-06-17 00:00:00.000000,0.0216,2019-06-18 10:20:19.048917,7.56,16.0,,,,148100000.0,0.05,0.02,IEF,16188377577.0,0.0229,0.0259,8.48,0.0203,https://www.ishares.com/us/products/239456/ishares-710-year-treasury-bond-etf
11,Equity,0.69,0.0069,2019-06-17 00:00:00.000000,0.020499999999999997,2019-06-18 10:20:22.260307,,1.0,,,,97950000.0,0.0978,0.031400000000000004,HEFA,2873279335.0,0.030299999999999997,,,,https://www.ishares.com/us/products/259622/ishares-currency-hedged-msci-eafe-etf
12,Equity,0.86,0.0053,2019-06-17 00:00:00.000000,0.0011,2019-06-18 10:20:29.980106,,32.0,,2.04,15.02,7500000.0,0.1409,0.0265,EWD,222249947.0,0.050199999999999995,,,,https://www.ishares.com/us/products/239684/ishares-msci-sweden-etf
13,Equity,1.39,0.0043,2019-06-17 00:00:00.000000,0.0235,2019-06-18 10:20:35.068020,,58.0,,1.36,11.93,10700000.0,0.22260000000000002,0.024700000000000003,IAT,476149874.0,0.024300000000000002,,,,https://www.ishares.com/us/products/239521/ishares-us-regional-banks-etf
14,Equity,,0.0018,2019-06-17 00:00:00.000000,0.0077,2019-06-18 10:20:37.254130,,160.0,,,,250000.0,,0.0101,IEHS,7142820.0,0.0152,,,0.0002,https://www.ishares.com/us/products/292422/
15,Equity,1.03,0.002,2019-06-17 00:00:00.000000,0.0184,2019-06-18 10:20:39.780638,,161.0,,2.54,15.14,33850000.0,0.1243,0.0199,LRGF,1048770440.0,0.030600000000000002,,,,https://www.ishares.com/us/products/272824/ishares-msci-usa-multi-factor-etf
16,Multi Asset,0.71,0.0032,2019-06-17 00:00:00.000000,0.0137,2019-06-18 10:20:43.861691,,7.0,,,,17100000.0,0.0873,0.0236,AOA,922590410.0,0.0226,,,,https://www.ishares.com/us/products/239729/ishares-aggressive-allocation-etf
17,Equity,1.0,0.002,2019-06-17 00:00:00.000000,0.0225,2019-06-18 10:20:49.838492,,101.0,,3.42,20.55,38700000.0,0.1175,0.0192,OEF,4939952513.0,0.0195,,,,https://www.ishares.com/us/products/239723/ishares-sp-100-etf
18,Equity,0.98,0.002,2019-06-17 00:00:00.000000,0.0242,2019-06-18 10:20:55.119824,,90.0,,3.48,18.21,5050000.0,0.11699999999999999,0.022400000000000003,JKD,819431473.0,0.0208,,,,https://www.ishares.com/us/products/239579/ishares-morningstar-largecap-etf
19,Fixed Income,-0.01,0.0007000000000000001,2019-06-17 00:00:00.000000,0.0161,2019-06-18 10:21:04.638757,,1044.0,,,,21850000.0,0.011699999999999999,0.0144,SUB,2322883409.0,0.0154,0.0493,2.2,0.0141,https://www.ishares.com/us/products/239772/ishares-shortterm-national-amtfree-muni-bond-etf
20,Equity,1.01,0.0025,2019-06-17 00:00:00.000000,0.017,2019-06-18 10:21:09.796624,,127.0,,3.75,21.02,8700000.0,0.1195,0.0172,SUSA,1036273664.0,0.0166,,,,https://www.ishares.com/us/products/239692/ishares-msci-usa-esg-select-etf
21,Equity,0.95,0.004699999999999999,2019-06-17 00:00:00.000000,0.032,2019-06-18 10:21:16.571176,,68.0,,1.41,13.74,25950000.0,0.1653,0.0366,IXC,809130326.0,0.0331,,,,https://www.ishares.com/us/products/239741/ishares-global-energy-etf
22,Equity,,0.0018,2019-06-17 00:00:00.000000,0.0088,2019-06-18 10:21:18.175992,,92.0,,,,250000.0,,0.0098,IEME,6836422.0,0.0101,,,0.0002,https://www.ishares.com/us/products/292424/
23,Fixed Income,,0.0040999999999999995,2019-06-17 00:00:00.000000,,2019-06-18 10:21:21.075025,,1.0,,,,2250000.0,,,IGBH,54448207.0,,,,,https://www.ishares.com/us/products/275397/ishares-interest-rate-hedged-10-year-credit-bond-etf
24,Fixed Income,,0.0018,2019-06-17 00:00:00.000000,0.0147,2019-06-18 10:21:22.457946,,70.0,,,,200000.0,,0.0146,IBMO,5109868.0,,0.0467,6.78,0.0173,https://www.ishares.com/us/products/308047/
25,Fixed Income,-0.02,0.0018,2019-06-17 00:00:00.000000,0.015300000000000001,2019-06-18 10:21:24.987092,,1311.0,,,,11250000.0,0.0316,0.0129,IBMK,292934576.0,0.015300000000000001,0.0484,3.08,0.013999999999999999,https://www.ishares.com/us/products/276544/ishares-ibonds-dec-2022-amt-free-muni-bond-etf
26,Equity,,0.0015,2019-06-17 00:00:00.000000,,2019-06-18 10:21:26.414756,,323.0,,3.86,21.23,23200000.0,,,SUSL,1149605096.0,,,,,https://www.ishares.com/us/products/308574/
27,Equity,1.14,0.004699999999999999,2019-06-17 00:00:00.000000,0.026699999999999998,2019-06-18 10:21:32.329152,,124.0,,1.54,14.47,21150000.0,0.1834,0.0218,IGE,618747195.0,0.026000000000000002,,,,https://www.ishares.com/us/products/239768/ishares-north-american-natural-resources-etf
28,Equity,,0.0025,2019-06-17 00:00:00.000000,0.026000000000000002,2019-06-18 10:21:33.979871,,350.0,,2.68,16.6,300000.0,,0.0239,DIVB,8148718.0,0.022400000000000003,,,,https://www.ishares.com/us/products/291387/
29,Fixed Income,0.0,0.0015,2019-06-17 00:00:00.000000,0.022000000000000002,2019-06-18 10:21:36.841679,0.01,8.0,,,,11900000.0,0.0022,0.022799999999999997,TFLO,598411494.0,0.020099999999999996,0.0232,1.14,0.0236,https://www.ishares.com/us/products/260652/ishares-treasury-floating-rate-bond-etf
30,Equity,1.01,0.0015,2019-06-17 00:00:00.000000,0.0195,2019-06-18 10:21:43.021603,,976.0,,3.15,20.37,124700000.0,0.1182,0.0182,IWB,19955789748.0,0.0187,,,,https://www.ishares.com/us/products/239707/ishares-russell-1000-etf
31,Equity,1.09,0.003,2019-06-17 00:00:00.000000,0.0023,2019-06-18 10:21:48.353966,,197.0,,5.2,36.61,2200000.0,0.14,0.0017000000000000001,JKH,543115369.0,0.0027,,,,https://www.ishares.com/us/products/239583/ishares-morningstar-midcap-growth-etf
32,Fixed Income,,0.0025,2019-06-17 00:00:00.000000,0.018500000000000003,2019-06-18 10:21:54.913918,7.38,193.0,72.0,,,500000.0,,0.0101,BGRN,26790338.0,0.0,0.016399999999999998,8.38,0.0106,https://www.ishares.com/us/products/305296/
33,Equity,1.19,0.0024,2019-06-17 00:00:00.000000,0.0215,2019-06-18 10:22:06.669436,,1350.0,,1.36,13.93,72500000.0,0.17010000000000003,0.0204,IWN,8548491648.0,0.0196,,,,https://www.ishares.com/us/products/239712/ishares-russell-2000-value-etf
34,,,,2019-06-17 10:22:09.845471,,2019-06-18 10:22:09.845488,,,,,,,,,,,,,,,https://www.ishares.com/uk/institutional/en/products/239710/ishares-russell-2000-etf
35,Equity,0.95,0.0034999999999999996,2019-06-17 00:00:00.000000,0.1362,2019-06-18 10:22:12.070257,,431.0,,1.84,12.36,4050000.0,0.1195,0.021400000000000002,ACWF,115120701.0,0.019,,,,https://www.ishares.com/us/products/272821/ishares-msci-global-multi-factor-etf
36,Equity,0.78,0.004699999999999999,2019-06-17 00:00:00.000000,0.0055000000000000005,2019-06-18 10:22:15.969408,,26.0,,1.56,13.98,1400000.0,0.1431,0.0152,EIRL,57700550.0,0.0137,,,,https://www.ishares.com/us/products/239662/ishares-msci-ireland-capped-etf
37,Fixed Income,,0.0045000000000000005,2019-06-17 00:00:00.000000,,2019-06-18 10:22:19.203253,,1.0,,,,1650000.0,,,LQDH,152980606.0,,,,,https://www.ishares.com/us/products/264542/ishares-interest-rate-hedged-corporate-bond-etf
38,Fixed Income,,0.004,2019-06-17 10:22:20.706483,0.0466,2019-06-18 10:22:20.706498,3.25,1288.0,,,,3600000.0,,,GHYG,,,0.056299999999999996,3.89,,https://www.ishares.com/ch/institutional/en/products/239551/ishares-global-high-yield-corporate-bond-etf
39,Equity,0.79,0.004699999999999999,2019-06-17 00:00:00.000000,0.0078000000000000005,2019-06-18 10:22:26.962184,,81.0,,1.6,17.62,27000000.0,0.1382,0.0233,EWQ,795845431.0,0.0265,,,,https://www.ishares.com/us/products/239648/ishares-msci-france-etf
40,Fixed Income,0.69,0.002,2019-06-17 00:00:00.000000,0.0141,2019-06-18 10:22:29.562562,1.71,215.0,,,,5850000.0,0.0916,0.0174,ICVT,342234315.0,0.034,0.0176,4.43,0.027000000000000003,https://www.ishares.com/us/products/272819/ishares-convertible-bond-etf
41,Equity,0.68,0.005,2019-06-17 00:00:00.000000,0.0467,2019-06-18 10:22:34.036212,,99.0,,1.4,11.53,139600000.0,0.1073,0.0574,IDV,4169208115.0,0.0582,,,,https://www.ishares.com/us/products/239499/ishares-international-select-dividend-etf
42,Equity,0.89,0.0025,2019-06-17 00:00:00.000000,0.0331,2019-06-18 10:22:39.338694,,70.0,,2.01,15.44,4800000.0,0.1121,0.0288,JKF,508760544.0,0.028300000000000002,,,,https://www.ishares.com/us/products/239581/ishares-morningstar-largecap-value-etf
43,Equity,0.86,0.004,2019-06-17 00:00:00.000000,0.0171,2019-06-18 10:22:44.504948,,103.0,,2.45,18.02,42650000.0,0.1052,0.022799999999999997,IOO,2043431076.0,0.0233,,,,https://www.ishares.com/us/products/239737/ishares-global-100-etf
44,Fixed Income,,0.0018,2019-06-17 00:00:00.000000,0.0319,2019-06-18 10:22:46.552676,7.43,1280.0,122.0,,,1450000.0,,0.0329,SUSC,36728725.0,0.033,0.039599999999999996,10.86,0.0333,https://www.ishares.com/us/products/288488/ishares-esg-usd-corporate-bond-etf-fund
45,Equity,0.68,0.0109,2019-06-17 00:00:00.000000,0.0482,2019-06-18 10:22:48.730215,,1.0,,,,100000.0,0.1723,0.0443,HEWI,1680926.0,0.0527,,,,https://www.ishares.com/us/products/273746/ishares-currency-hedged-msci-italy-etf
46,Fixed Income,0.07,0.0048,2019-06-17 00:00:00.000000,0.0355,2019-06-18 10:22:53.625369,5.36,8.0,172.0,,,2300000.0,0.0294,0.0398,BYLD,57421052.0,0.0414,0.0239,7.61,0.038599999999999995,https://www.ishares.com/us/products/264127/ishares-yield-optimized-bond-etf
47,Equity,1.08,0.002,2019-06-17 00:00:00.000000,0.0138,2019-06-18 10:22:59.006950,,545.0,,7.01,24.64,282850000.0,0.1304,0.0108,IWF,43993435584.0,0.011399999999999999,,,,https://www.ishares.com/us/products/239706/ishares-russell-1000-growth-etf
48,Equity,,0.002,2019-06-17 10:23:00.350759,0.0225,2019-06-18 10:23:00.350774,,101.0,,3.42,20.55,38700000.0,,,OEF,,,,,,https://www.ishares.com/ch/institutional/en/products/239723/ishares-sp-100-etf
49,Equity,1.07,0.002,2019-06-17 00:00:00.000000,0.0167,2019-06-18 10:23:06.335087,,780.0,,2.66,20.03,349900000.0,0.1295,0.015600000000000001,IWR,19183972031.0,0.0177,,,,https://www.ishares.com/us/products/239718/ishares-russell-midcap-etf
50,,,,2019-06-17 10:23:07.682317,,2019-06-18 10:23:07.682341,,,,,,,,,,,,,,,https://www.ishares.com/uk/professional/en/products/288500/ishares-floating-rate-bond-ucits-etf-usd-dist-fund
51,Equity,0.66,0.0053,2019-06-17 00:00:00.000000,0.0067,2019-06-18 10:23:11.027006,,45.0,,3.0,17.72,600000.0,0.1389,0.0139,EDEN,37145620.0,0.0187,,,,https://www.ishares.com/us/products/239621/ishares-msci-denmark-capped-etf
52,Fixed Income,0.0,0.0006,2019-06-17 00:00:00.000000,0.0298,2019-06-18 10:23:15.803441,2.68,2499.0,83.0,,,223900000.0,0.011899999999999999,0.028300000000000002,IGSB,11887876503.0,0.0292,0.0344,2.87,0.0273,https://www.ishares.com/us/products/239451/ishares-13-year-credit-bond-etf
53,Equity,0.75,0.0043,2019-06-17 00:00:00.000000,0.0223,2019-06-18 10:23:21.826777,,110.0,,3.76,18.98,3750000.0,0.1127,0.023700000000000002,IYK,455435527.0,0.0254,,,,https://www.ishares.com/us/products/239505/ishares-us-consumer-goods-etf
54,Equity,0.91,0.005,2019-06-17 00:00:00.000000,0.0339,2019-06-18 10:23:25.809279,,51.0,,1.49,11.2,17900000.0,0.1501,0.0227,AIA,1029336906.0,0.0242,,,,https://www.ishares.com/us/products/239730/ishares-asia-50-etf
55,Equity,,0.002,2019-06-17 00:00:00.000000,0.0134,2019-06-18 10:23:28.097801,,393.0,,2.11,22.67,5150000.0,,0.0181,SMMV,170750568.0,0.0159,,,,https://www.ishares.com/us/products/284609/
56,Fixed Income,-0.04,0.002,2019-06-17 00:00:00.000000,0.022099999999999998,2019-06-18 10:23:33.956358,3.88,3179.0,33.0,,,18100000.0,0.022400000000000003,0.022099999999999998,GVI,2020898233.0,0.0225,0.0274,4.23,0.0226,https://www.ishares.com/us/products/239464/ishares-intermediate-governmentcredit-bond-etf
57,Equity,0.74,0.004699999999999999,2019-06-17 00:00:00.000000,0.035699999999999996,2019-06-18 10:23:40.117171,,25.0,,1.23,12.79,24700000.0,0.1461,0.04,EWS,575754470.0,0.0408,,,,https://www.ishares.com/us/products/239678/ishares-msci-singapore-capped-etf
58,Multi Asset,0.31,0.0060999999999999995,2019-06-17 00:00:00.000000,0.025099999999999997,2019-06-18 10:23:44.925578,,10.0,,,,12900000.0,0.0548,0.054000000000000006,IYLD,318142724.0,0.051500000000000004,,,,https://www.ishares.com/us/products/239585/ishares-morningstar-multiasset-income-etf
59,Fixed Income,,0.0018,2019-06-17 00:00:00.000000,0.016399999999999998,2019-06-18 10:23:46.846173,,965.0,,,,6750000.0,,0.0132,IBML,172963015.0,0.0172,0.048799999999999996,4.03,0.0144,https://www.ishares.com/us/products/287194/ishares-ibonds-dec-2023-term-muni-bond-etf-fund
60,Equity,1.0,0.0004,2019-06-17 00:00:00.000000,0.0194,2019-06-18 10:23:53.368404,,505.0,,3.24,20.42,614200000.0,0.11689999999999999,0.019799999999999998,IVV,177901610258.0,0.0197,,,,https://www.ishares.com/us/products/239726/ishares-core-sp-500-etf
61,Equity,1.28,0.0025,2019-06-17 00:00:00.000000,0.019299999999999998,2019-06-18 10:23:59.439628,,460.0,,1.43,15.49,41250000.0,0.1816,0.0179,IJS,5927171450.0,0.0169,,,,https://www.ishares.com/us/products/239775/ishares-sp-smallcap-600-value-etf
62,Equity,0.99,0.0015,2019-06-17 00:00:00.000000,0.0195,2019-06-18 10:24:02.405761,,125.0,,5.2,20.11,119900000.0,0.1183,0.0177,QUAL,10781374883.0,0.0176,,,,https://www.ishares.com/us/products/256101/ishares-msci-usa-quality-factor-etf
63,Real Estate,0.61,0.0043,2019-06-17 00:00:00.000000,0.0282,2019-06-18 10:24:08.427426,,114.0,,2.58,,49500000.0,0.1273,0.027999999999999997,IYR,4454907743.0,0.030299999999999997,,,,https://www.ishares.com/us/products/239520/ishares-us-real-estate-etf
64,Multi Asset,0.35,0.0032,2019-06-17 00:00:00.000000,0.022799999999999997,2019-06-18 10:24:15.429286,,7.0,,,,27550000.0,0.04769999999999999,0.0269,AOM,1060049958.0,0.0252,,,,https://www.ishares.com/us/products/239765/ishares-moderate-allocation-etf
65,Equity,,0.003,2019-06-17 00:00:00.000000,0.0,2019-06-18 10:24:16.808587,,641.0,,,,800000.0,,0.0195,DYNF,20570462.0,,,,,https://www.ishares.com/us/products/307283/blackrock-us-equity-factor-rotation-etf
66,Fixed Income,-0.04,0.0006,2019-06-17 00:00:00.000000,0.026099999999999998,2019-06-18 10:24:23.972438,5.32,7410.0,47.0,,,571700000.0,0.0311,0.026099999999999998,AGG,63176354147.0,0.027200000000000002,0.0332,7.76,0.0262,https://www.ishares.com/us/products/239458/ishares-core-total-us-bond-market-etf
67,Equity,,0.0018,2019-06-17 00:00:00.000000,0.0147,2019-06-18 10:24:25.594937,,211.0,,,,200000.0,,0.0137,IEDI,5752696.0,0.0173,,,0.0001,https://www.ishares.com/us/products/292414/
68,Equity,,0.0018,2019-06-17 00:00:00.000000,0.02,2019-06-18 10:24:27.148988,,214.0,,,,200000.0,,0.015300000000000001,IEIH,5017224.0,0.0149,,,0.0001,https://www.ishares.com/us/products/292423/ishares-evolved-u-s-innovative-healthcare-etf-fund
69,Equity,1.41,0.0043,2019-06-17 00:00:00.000000,0.021,2019-06-18 10:24:32.121957,,60.0,,1.37,10.24,4600000.0,0.2455,0.0155,IEO,241337609.0,0.0176,,,,https://www.ishares.com/us/products/239517/ishares-us-oil-gas-exploration-production-etf
70,Equity,,0.0015,2019-06-17 00:00:00.000000,0.0227,2019-06-18 10:24:34.251940,,402.0,,2.18,17.87,400000.0,,0.0232,AMCA,11198462.0,0.0239,,,,https://www.ishares.com/us/products/290127/
71,Equity,0.46,0.0031,2019-06-17 00:00:00.000000,0.0199,2019-06-18 10:24:37.840968,,281.0,,1.79,18.62,154200000.0,0.08470000000000001,0.029500000000000002,EFAV,10994535187.0,0.0313,,,,https://www.ishares.com/us/products/239626/ishares-msci-eafe-minimum-volatility-etf
72,Equity,1.1,0.0059,2019-06-17 00:00:00.000000,0.0027,2019-06-18 10:24:42.425789,,73.0,,1.5,14.33,2550000.0,0.15689999999999998,0.0060999999999999995,EIS,134446335.0,0.008,,,,https://www.ishares.com/us/products/239663/ishares-msci-israel-capped-etf
73,Fixed Income,-0.09,0.0015,2019-06-17 00:00:00.000000,0.019799999999999998,2019-06-18 10:24:45.826098,6.19,125.0,,,,432500000.0,0.036000000000000004,0.020099999999999996,GOVT,11106091234.0,0.0202,0.023799999999999998,7.75,0.0203,https://www.ishares.com/us/products/239468/ishares-us-treasury-bond-etf
74,Fixed Income,,0.001,2019-06-17 00:00:00.000000,0.0321,2019-06-18 10:24:47.282151,7.34,270.0,134.0,,,2350000.0,,0.035,IBDT,62537593.0,0.0,0.0412,8.7,0.034,https://www.ishares.com/us/products/304570/ishares-ibonds-dec-2028-term-corporate-etf-fund
75,,,,2019-06-17 10:24:48.304019,,2019-06-18 10:24:48.304031,,,,,,,,,,,,,,,https://www.ishares.com/uk/individual/en/products/251912/ishares-global-timber-forestry-ucits-etf
76,Equity,1.01,0.0004,2019-06-17 00:00:00.000000,0.0281,2019-06-18 10:24:53.711137,,679.0,,2.18,15.82,99250000.0,0.124,0.0254,IUSV,5487871725.0,0.0248,,,,https://www.ishares.com/us/products/239715/ishares-core-sp-us-value-etf
77,Equity,0.89,0.0031,2019-06-17 00:00:00.000000,0.013600000000000001,2019-06-18 10:24:58.195100,,1416.0,,2.2,17.05,144600000.0,0.1085,0.0206,ACWI,10392221362.0,0.0206,,,,https://www.ishares.com/us/products/239600/ishares-msci-acwi-etf
78,Equity,1.13,0.0025,2019-06-17 00:00:00.000000,0.008199999999999999,2019-06-18 10:25:03.504619,,417.0,,6.0,25.24,76400000.0,0.14,0.006500000000000001,IWP,10693594900.0,0.0084,,,,https://www.ishares.com/us/products/239717/ishares-russell-midcap-growth-etf
79,Fixed Income,0.0,0.001,2019-06-17 00:00:00.000000,0.026699999999999998,2019-06-18 10:25:06.753230,3.04,347.0,78.0,,,2950000.0,0.027200000000000002,0.0271,IBDD,78219515.0,0.028999999999999998,0.0321,3.2,0.0264,https://www.ishares.com/us/products/254555/isharesbond-mar-2023-corporate-term-etf
80,Real Estate,0.62,0.0008,2019-06-17 00:00:00.000000,0.034300000000000004,2019-06-18 10:25:13.537453,,157.0,,2.42,,26750000.0,0.1354,0.032400000000000005,USRT,1429980061.0,0.048499999999999995,,,,https://www.ishares.com/us/products/239544/ishares-core-us-real-estate-etf
81,Equity,0.18,0.0046,2019-06-17 00:00:00.000000,0.0576,2019-06-18 10:25:18.438017,,464.0,,,,416600000.0,0.0509,0.0535,PFF,15343148053.0,0.0538,,,,https://www.ishares.com/us/products/239826/ishares-us-preferred-stock-etf
82,Equity,0.64,0.0053,2019-06-17 00:00:00.000000,0.0004,2019-06-18 10:25:22.167306,,39.0,,2.04,15.7,650000.0,0.1332,0.0318,EFNL,23554975.0,0.0373,,,,https://www.ishares.com/us/products/239647/ishares-msci-finland-capped-etf
83,Equity,0.87,0.004699999999999999,2019-06-17 00:00:00.000000,0.0,2019-06-18 10:25:28.956752,,65.0,,1.55,13.89,79500000.0,0.1476,0.023700000000000002,EWG,2141184625.0,0.0276,,,,https://www.ishares.com/us/products/239650/ishares-msci-germany-etf
